Opened	Name	City	Market
2/14/2025	New Kensington, Riverview Plaz	New Kensington	Pennsylvania\Pittsburgh
2/14/2025	Winterburn Point	Edmonton	Alberta\Edmonton
2/14/2025	Wadsworth & 38th	Wheat Ridge	Colorado\Denver
2/14/2025	Willingboro Town Center	Willingboro	NewJersey\SouthJersey
2/13/2025	Vineyard & Riverpark	Oxnard	California\Ventura
2/13/2025	Blackfalds	Blackfalds	Alberta\RedDeer
2/10/2025	Ruben Torres & S Minnesota Ave	Brownsville	Texas\SouthTexas
2/10/2025	I-30 & Hwy 37	Mount Vernon	Texas\RemoteMarkets
2/10/2025	Dogwood Dr. & Magnolia St	Milton	Florida\Panhandle
2/10/2025	Broadway & Wilmot	Tucson	Arizona\Tucson
2/10/2025	[NEW] Renaissance Center	Altamonte Springs	Florida\Orlando
2/8/2025	Jamboree & Edinger	Tustin	California\OrangeCounty
2/8/2025	Holbrook-Sunrise & Broadway	Holbrook	NewYork\LongIsland
2/7/2025	New Britain, Hartford Rd	New Britain	Connecticut\Hartford
2/7/2025	Portland CT	Portland	Connecticut\Hartford
2/7/2025	Westhampton Beach-Mill Rd	Westhampton Beach	NewYork\LongIsland
2/7/2025	Woburn Landing	Woburn	Massachusetts\BostonSuburbs
2/5/2025	Bolton Rd & Marietta Blvd	Atlanta	Georgia\Atlanta
2/3/2025	Amarillo Blvd & Pierce Street	Amarillo	Texas\Amarillo
2/3/2025	Fischer-Hallman & Huron	Kitchener	Ontario\GreaterTorontoArea
2/3/2025	Alafaya & Golfway	Orlando	Florida\Orlando
2/3/2025	34th St. North and Highpoint D	Oakdale	Minnesota\MinneapolisSuburbs
2/3/2025	Manchester Rd and Covert Lane	Ellisville	Missouri\StLouisSuburbs
2/3/2025	Bridge Street	Huntsville	Alabama\Huntsville
2/3/2025	72nd and Cornhusker Rd	Papillion	Nebraska\Omaha
2/3/2025	Hwy 78 & Paxton Ln	Lilburn	Georgia\AtlantaSuburbs
2/1/2025	901 N Wendover	Charlotte	NorthCarolina\Charlotte
1/31/2025	2139 Huron Church Road	Windsor	Ontario\Windsor
1/30/2025	Sagecrest Cir & the Old Rd	Stevenson Ranch	California\SantaClarita
1/30/2025	Carry Plaza	Medicine Hat	Alberta\AlbertaRemoteMarkets
1/30/2025	200 Two Nations Crossing	Fredericton	NewBrunswick
1/30/2025	Contrecoeur	Contrecoeur	Quebec\Montreal
1/30/2025	Brady Street & Farwell	Milwaukee	Wisconsin\Milwaukee
1/29/2025	McPherson & Chisholm Trail Pkw	Fort Worth	Texas\ForthWorth
1/28/2025	Sainte-Sophie	Sainte-Sophie	Quebec\Montreal
1/27/2025	Wilmington, Lowell St	Wilmington	Massachusetts\BostonSuburbs
1/27/2025	Andrews HWY & Cuthbert	Midland	Texas\MidlandOdessa
1/26/2025	Tiny Town Rd & Tara Blvd	Clarksville	Tennessee\Clarksville
1/25/2025	Rosemead & Beverly	Pico Rivera	California\SoutheastLosAngeles
1/25/2025	[NEW] Frederick-Route 40	Frederick	Maryland\Frederick
1/24/2025	Washington & Rosemead Blvd	Pico Rivera	California\SoutheastLosAngeles
1/24/2025	[NEW] Flourtown	Flourtown	Pennsylvania\PhiladelphiaSuburbs
1/24/2025	Bristol Place, Attleboro	South Attleboro	Massachusetts\BostonSuburbs
1/20/2025	US 192 & Westside Blvd	Kissimmee	Florida\Orlando
1/20/2025	Michigan & Holiday Farms	Zionsville	Indiana\Indianapolis
1/20/2025	Boll Weevil Cir & Rucker Blvd	Enterprise	Alabama\AlabamaRemoteMarkets
1/18/2025	Lindero Canyon & Thousand Oaks	Westlake Village	California\Ventura
1/17/2025	Yellowhead Hwy & Shuswap Road	Kamloops	BritishColumbia\EasternBritishColumbia
1/17/2025	Willimantic, Route 6	North Windham	Connecticut\ConnecticutRemoteMarkets
1/17/2025	Arkansas Ave & Harrell Dr	Russellville	Arkansas
1/16/2025	Taunton Gardens	Whitby	Ontario\GreaterTorontoArea
1/16/2025	210 & Greenspot	Highland	California\SanBernardinoCounty
1/16/2025	De Soto & Nordhoff	Chatsworth	California\LosAngelesCounty
1/15/2025	US-1 & Virginia	Fort Pierce	Florida\TreasureCoast
1/15/2025	Union Station DC_Center	Washington	WashingtonDC\WashingtonDC
1/15/2025	W Mallard Creek Church Rd	Charlotte	NorthCarolina\Charlotte
1/15/2025	Leslie & St. John`s Sideroad E	Aurora	Ontario\GreaterTorontoArea
1/15/2025	Hwy 434 & Myrtle St	Longwood	Florida\Orlando
1/14/2025	University and Plaza Centre	Bryan	Texas\RemoteMarkets
1/13/2025	S 168th St and Hwy 370	Gretna	Nebraska\Omaha
1/13/2025	20th and 22nd - Brookings	Brookings	SouthDakota
1/13/2025	CR 44 & SE 7th Ave	Crystal River	Florida\FloridaRemoteMarkets
1/13/2025	11th and Norhill	Houston	Texas\Houston
1/10/2025	US34 & Orchard	Oswego	Illinois\Kendall
1/10/2025	Victoria Trail	Edmonton	Alberta\Edmonton
1/10/2025	13th Street & Lindberg Circle	Wichita	Kansas\Wichita
1/10/2025	75th Street & Frontage Rd	Overland Park	Kansas\KansasCityKansasSuburbs
1/10/2025	Asbury, West Ridge Road	Erie	Pennsylvania\PennsylvaniaRemoteMarkets
1/10/2025	Baseline & Riverside	Rialto	California\SanBernardinoCounty
1/9/2025	27425 Ynez Road	Temecula	California\RiversideCounty
1/9/2025	Broad & South	San Luis Obispo	California\CentralCoast
1/6/2025	Novus Place - Novus and Univer	Tempe	Arizona\Phoenix
1/6/2025	Hwy 6 & Hwy 105	Navasota	Texas\RemoteMarkets
1/6/2025	Industrial Blvd & Enterprise A	Conway	Arkansas
1/6/2025	I-20 & Dent	Sweetwater	Texas\RemoteMarkets
1/6/2025	E International Blvd & N. Amel	Deland	Florida\Orlando
1/3/2025	Trent and Argonne	Spokane Valley	Washington\Spokane
12/27/2024	Prince Creek (SC-707)	Murrells Inlet	SouthCarolina\MyrtleBeach
12/27/2024	[NEW] Hood College-7th Street	Frederick	Maryland\Frederick
12/27/2024	Manlius, Fayette	Manlius	NewYork\Syracuse
12/27/2024	HWY 67 & English Street	Glen Rose	Texas\RemoteMarkets
12/23/2024	US Hwy 27 & NW 46th Terrace	Ocala	Florida\Gainesville
12/23/2024	W Yelm Ave & Killion Rd SE	Yelm	Washington\Tacoma
12/23/2024	[NEW] John Deere & 41st - Moline	Moline	Illinois\QuadCities
12/20/2024	Bragg & Sycamore	Fayetteville	NorthCarolina\NorthCarolinaRemoteMarkets
12/20/2024	Crystal Run	Middletown	NewYork\NewYorkRemoteMarkets
